word,kind,notes
sabotage,common,french loanwords naturalized in english
camouflage,common,french loanwords naturalized in english
origami,common,japanese loanwords naturalized in english
samurai,common,japanese loanwords naturalized in english
karate,common,japanese loanwords naturalized in english
judo,common,japanese loanwords naturalized in english
tux,common,clothing and fabric
tuxedo,common,clothing and fabric
flannel,common,clothing and fabric
corduroy,common,clothing and fabric
denim,common,clothing and fabric
cantankerous,common,words that sound rare but are widely known
curmudgeon,common,words that sound rare but are widely known
serendipity,common,words that sound rare but are widely known
brouhaha,common,words that sound rare but are widely known
kerfuffle,common,words that sound rare but are widely known
hullabaloo,common,words that sound rare but are widely known
bamboozle,common,words that sound rare but are widely known
bamboozled,common,words that sound rare but are widely known
shenanigans,common,words that ought to be plural but not singular
shenanigan,rare,words that ought to be plural but not singular
cahoot,forbidden,words that ought to be plural but not singular
cahoots,common,words that ought to be plural but not singular
alice,common_ish,words that ought to be plural but not singular
alices,forbidden,words that ought to be plural but not singular
sycophant,common,common words seldom used in writing
obsequious,common,common words seldom used in writing
nefarious,common,common words seldom used in writing
insidious,common,common words seldom used in writing
malarkey,common,common words seldom used in writing
tomfoolery,common,common words seldom used in writing
skulduggery,common,common words seldom used in writing
flabbergasted,common,common words seldom used in writing
blog,common,modern words (post-2009)
blogs,common,modern words (post-2009)
blogged,common,modern words (post-2009)
blogger,common,modern words (post-2009)
bloggers,common,modern words (post-2009)
blogging,common,modern words (post-2009)
vlog,common_ish,modern words (post-2009)
vlogs,common_ish,modern words (post-2009)
vlogged,common_ish,modern words (post-2009)
vlogging,common_ish,modern words (post-2009)
vlogger,common_ish,modern words (post-2009)
vloggers,common_ish,modern words (post-2009)
selfie,common,modern words (post-2009)
hashtag,common,modern words (post-2009)
emoji,common,modern words (post-2009)
meme,common,modern words (post-2009)
malware,common,modern words (post-2009)
trans,common,modern words (post-2009)
bi,common,modern words (post-2009)
poly,common,modern words (post-2009)
polyam,common,modern words (post-2009)
polyamory,common,modern words (post-2009)
polyamorous,common,modern words (post-2009)
throuple,common,modern words (post-2009)
throuples,common,modern words (post-2009)
thruple,forbidden,modern words (post-2009)
thrupple,forbidden,modern words (post-2009)
yeet,common,modern words (post-2009)
yeets,common,modern words (post-2009)
yeeted,common,modern words (post-2009)
yeeting,common,modern words (post-2009)
yote,uncommon,modern words (post-2009) | past tense of 'yeet'
twerk,common,modern words (post-2009)
twerks,common,modern words (post-2009)
twerked,common,modern words (post-2009)
twerking,common,modern words (post-2009)
urled,forbidden,modern words (post-2009)
urling,forbidden,modern words (post-2009)
twink,common,modern words (post-2009)
doxxed,common,modern words (post-2009)
doxxing,common,modern words (post-2009)
attaway,rare,surnames in cmudict
beaupre,rare,surnames in cmudict
bergstrom,rare,surnames in cmudict
carstens,rare,surnames in cmudict
colborn,rare,surnames in cmudict
drinkwater,rare,surnames in cmudict
gruenhagen,forbidden,surnames in cmudict
hanauer,forbidden,surnames in cmudict
kirkbride,forbidden,surnames in cmudict
kreimer,rare,surnames in cmudict
lamarque,rare,surnames in cmudict
massingill,rare,surnames in cmudict
nordlund,rare,surnames in cmudict
pfleger,forbidden,surnames in cmudict
schnabel,forbidden,surnames in cmudict
stankiewicz,forbidden,surnames in cmudict
tewksbury,rare,surnames in cmudict
vandermeer,rare,surnames in cmudict
mcnaughton,forbidden,surnames in cmudict
brumfield,forbidden,surnames in cmudict
abernethy,rare,more surnames
baumgardner,rare,more surnames
crenwelge,forbidden,more surnames
dettweiler,forbidden,more surnames
eckstrom,rare,more surnames
fitzgibbons,rare,more surnames
grzelak,forbidden,more surnames
humpherys,forbidden,more surnames
iannaccone,forbidden,more surnames
kriegshauser,forbidden,more surnames
muehlberger,forbidden,more surnames
oesterling,forbidden,more surnames
przybylski,forbidden,more surnames
rheinhardt,forbidden,more surnames
thistlethwaite,forbidden,more surnames
djibouti,uncommon,obscure place names
kinshasa,rare,obscure place names
liechtenstein,rare,obscure place names
suriname,rare,obscure place names
vladivostok,rare,obscure place names
mogadishu,uncommon,obscure place names
ouagadougou,rare,obscure place names
turkmenistan,rare,obscure place names
kyrgyzstan,rare,obscure place names
tajikistan,rare,obscure place names
anfractuous,rare,obscure english words
borborygmus,rare,obscure english words
clerihew,rare,obscure english words
colophon,rare,obscure english words
defenestrate,common,obscure english words
escritoire,rare,obscure english words
fylfot,rare,obscure english words
gallimaufry,rare,obscure english words
gegenschein,rare,obscure english words
haruspex,rare,obscure english words
inspissate,rare,obscure english words
jeremiad,rare,obscure english words
louche,rare,obscure english words
maffick,rare,obscure english words
narthex,rare,obscure english words
oppugn,rare,obscure english words
quahog,rare,obscure english words
rebarbative,rare,obscure english words
tatterdemalion,rare,obscure english words
widdershins,rare,obscure english words
palimpsest,common,literary and rhetorical terms
quincunx,common,literary and rhetorical terms
tmesis,rare,literary and rhetorical terms
hendiadys,rare,literary and rhetorical terms
litotes,rare,literary and rhetorical terms
zeugma,rare,literary and rhetorical terms
chiasmus,rare,literary and rhetorical terms
anisotropic,rare,academic and scientific jargon
stoichiometry,rare,academic and scientific jargon
titration,rare,academic and scientific jargon
eschaton,uncommon,academic and scientific jargon
eschatology,rare,academic and scientific jargon
homiletics,rare,academic and scientific jargon
hagiography,rare,academic and scientific jargon
isomorphic,uncommon,academic and scientific jargon
isomorphism,uncommon,academic and scientific jargon
hermeneutics,rare,academic and scientific jargon
eigenvalue,rare,academic and scientific jargon
chromatography,rare_ish,academic and scientific jargon
electrophoresis,rare,academic and scientific jargon
spectrometer,rare_ish,academic and scientific jargon
reagent,common,academic and scientific jargon
adiabatic,rare,academic and scientific jargon
axolotl,common,obscure animals
cassowary,uncommon,obscure animals
dugong,uncommon,obscure animals
echidna,common_ish,obscure animals
gharial,rare,obscure animals
pangolin,uncommon,obscure animals
tapir,common,obscure animals
numbat,rare,obscure animals
forsooth,common_ish,archaic vocabulary
hauberk,uncommon,archaic vocabulary
varlet,rare,archaic vocabulary
seneschal,uncommon,archaic vocabulary
pottage,rare,archaic vocabulary
prithee,uncommon,archaic vocabulary
diapason,rare,archaic vocabulary
cynosure,rare,archaic vocabulary
panegyric,uncommon,archaic vocabulary
synecdoche,common_ish,archaic vocabulary
schenectady,rare,archaic vocabulary
umbra,uncommon,astronomy
penumbra,uncommon,astronomy
parallax,uncommon,astronomy
aphelion,rare,astronomy
perihelion,rare,astronomy
petrichor,uncommon,miscellaneous rare
spoonerism,rare_ish,miscellaneous rare
malapropism,rare_ish,miscellaneous rare
kafkaesque,rare_ish,miscellaneous rare
cupola,rare_ish,miscellaneous rare
balustrade,rare_ish,miscellaneous rare
evanescent,rare_ish,miscellaneous rare
velleity,rare,miscellaneous rare
zugzwang,rare_ish,miscellaneous rare
ephemeron,rare,miscellaneous rare
alam,rare,rare (original)
bahm,rare,rare (original)
beacham,rare,rare (original)
bram,rare,rare (original)
burcham,rare,rare (original)
camm,rare,rare (original)
cham,rare,rare (original)
dahm,rare,rare (original)
damm,rare,rare (original)
dirlam,rare,rare (original)
flam,rare,rare (original)
flamm,rare,rare (original)
frahm,rare,rare (original)
gahm,rare,rare (original)
gamm,rare,rare (original)
graeme,rare,rare (original)
gramm,rare,rare (original)
hahm,rare,rare (original)
hamm,rare,rare (original)
hamme,rare,rare (original)
kam,rare,rare (original)
kamm,rare,rare (original)
klamm,rare,rare (original)
kram,rare,rare (original)
kramm,rare,rare (original)
kramme,rare,rare (original)
kvam,rare,rare (original)
kvamme,rare,rare (original)
laflam,rare,rare (original)
laflamme,rare,rare (original)
lahm,rare,rare (original)
lambe,rare,rare (original)
lamm,rare,rare (original)
lamme,rare,rare (original)
mcclam,rare,rare (original)
mcham,rare,rare (original)
mclamb,rare,rare (original)
nahm,rare,rare (original)
nam,rare_ish,rare (original)
pam,uncommon,rare (original)
panam,rare,rare (original)
pham,rare,rare (original)
plam,rare,rare (original)
quamme,rare,rare (original)
rahm,rare,rare (original)
ramm,rare,rare (original)
sahm,rare,rare (original)
schram,rare,rare (original)
schramm,rare,rare (original)
stam,rare,rare (original)
stamm,rare,rare (original)
stram,rare,rare (original)
t-lam,rare,rare (original)
tham,rare,rare (original)
vandam,rare,rare (original)
vandamme,rare,rare (original)
zahm,rare,rare (original)
sadat,rare,rare (original)
spratt,rare,rare (original)
arnatt,rare,rare (original)
balyeat,rare,rare (original)
batte,rare,rare (original)
bhatt,rare,rare (original)
biernat,rare,rare (original)
blatt,rare,rare (original)
bratt,rare,rare (original)
catt,rare,rare (original)
delatte,rare,rare (original)
deslatte,rare,rare (original)
elat,rare,rare (original)
flatt,rare,rare (original)
glatt,rare,rare (original)
hatt,rare,rare (original)
hnat,rare,rare (original)
inmarsat,rare,rare (original)
jagt,rare,rare (original)
katt,rare,rare (original)
klatt,rare,rare (original)
krat,rare,rare (original)
kratt,rare,rare (original)
labatt,rare,rare (original)
landsat,rare,rare (original)
mcnatt,rare,rare (original)
patt,rare,rare (original)
platt,rare,rare (original)
pratte,rare,rare (original)
prevatt,rare,rare (original)
prevatte,rare,rare (original)
ratte,rare,rare (original)
sarratt,rare,rare (original)
schadt,rare,rare (original)
shatt,rare,rare (original)
slaght,rare,rare (original)
tvsat,rare,rare (original)
junco,rare,rare (original)
stylites,rare,rare (original)
devine,rare,rare (original)
pote,rare,rare (original)
fifer,rare,rare (original)
rebruised,rare,rare word forms
rebruiser,rare,rare word forms
rebruisers,rare,rare word forms
rebruising,rare,rare word forms
bruisedness,rare,rare word forms
bruisednesses,rare,rare word forms
bruisingly,rare,rare word forms
unbruise,rare,rare word forms
unbruising,rare,rare word forms
unrebruised,forbidden,rare word forms
unrebruising,forbidden,rare word forms
unrebruisedness,forbidden,rare word forms
unrebruisednesses,forbidden,rare word forms
unrebruisingly,forbidden,rare word forms
unrebruisingness,forbidden,rare word forms
unrebruisingnesses,forbidden,rare word forms
rerebruised,forbidden,rare word forms
sky,common,inflections
skies,common,inflections
skys,rare,inflections
skying,rare,inflections
goose,common,inflections
geese,common,inflections
gooses,common,inflections
mouse,common,inflections
mice,common,inflections
mouses,uncommon,inflections
mousing,uncommon,inflections
moused,uncommon,inflections
mousingly,rare,inflections
mousiness,common_ish,inflections
mousinesses,rare,inflections
mousinessly,rare,inflections
mouser,common_ish,inflections
mousers,common_ish,inflections
fox,common,inflections
foxes,common,inflections
foxs,forbidden,inflections
foxed,rare,inflections
foxing,rare,inflections
foxly,rare,inflections
foxy,common,inflections
foxyness,rare,inflections
foxily,common_ish,inflections
foxyly,rare,inflections
foxiness,common_ish,inflections
foxinesses,rare,inflections
foxier,common,inflections
foxiest,common,inflections
foxyer,forbidden,inflections
foxyest,forbidden,inflections
foxynesses,forbidden,inflections
crotch,common,inflections
crotches,common,inflections
crotchs,forbidden,inflections
crotched,rare,inflections
crotching,rare,inflections
tulip,common,inflections
tulips,common,inflections
tulipes,forbidden,inflections
tulipped,rare,inflections
tulipping,rare,inflections
free,common,inflections
frees,common,inflections
freed,common,inflections
freer,common,inflections
freest,common,inflections
freeing,common,inflections
ghost,common,inflections
ghosts,common,inflections
ghosted,common,inflections
ghosting,common,inflections
ghostly,common,inflections
campal,forbidden,inflections | spurious *al* from *campus* if *us→*al-style rules ever return
mochaed,forbidden,inflections
mochaer,forbidden,inflections
mochaest,forbidden,inflections
mochaing,forbidden,inflections
white,common,inflections
whiter,common,inflections
whitest,common,inflections
magenta,common,inflections
magentaed,forbidden,inflections
magentaer,forbidden,inflections
magentaest,forbidden,inflections
magentad,forbidden,inflections
magentar,forbidden,inflections
magentast,forbidden,inflections
recherche,common,inflections
rechercher,rare,inflections
rechercheer,forbidden,inflections
recherched,forbidden,inflections
rechercheed,forbidden,inflections
recherchest,rare,inflections
rechercheest,rare,inflections
khaki,common,inflections
khakis,common,inflections
khakied,forbidden,inflections
khakier,rare,inflections
khakiest,rare,inflections
jumbo,common,inflections
jumboed,forbidden,inflections
jumboer,rare,inflections
jumboest,rare,inflections
taboo,common,inflections
taboos,common,inflections
tabood,rare,inflections
tabooed,forbidden,inflections
tabooer,rare,inflections
tabooest,rare,inflections
impromptu,common,inflections
impromptus,rare,inflections
impromptud,forbidden,inflections
impromptued,forbidden,inflections
impromptuer,rare,inflections
impromptuest,rare,inflections
happy,common,inflections
happyer,forbidden,inflections
happier,common,inflections
happyest,forbidden,inflections
happiest,common,inflections
ant,common,inflections
ants,common,inflections
anting,forbidden,inflections
buddier,forbidden,inflections
drabbed,forbidden,inflections
kitchening,forbidden,spurious inherited frequency
cousining,forbidden,spurious inherited frequency
jealousing,forbidden,spurious inherited frequency
beautying,forbidden,spurious inherited frequency
opinioning,forbidden,spurious inherited frequency
attorneying,forbidden,spurious inherited frequency
televisioning,forbidden,spurious inherited frequency
permissioning,forbidden,spurious inherited frequency
secretarying,forbidden,spurious inherited frequency
missioning,forbidden,spurious inherited frequency
conversationing,forbidden,spurious inherited frequency
dearing,forbidden,spurious inherited frequency
deering,forbidden,spurious inherited frequency
avant-garde,common,hyphenated words / without existing final words
cul-de-sac,common,hyphenated words / without existing final words
culs-de-sac,uncommon,hyphenated words / without existing final words
cul-de-sacs,common,hyphenated words / without existing final words
culdesac,forbidden,hyphenated words / without existing final words
culdesacs,forbidden,hyphenated words / without existing final words
hoity-toity,common_ish,hyphenated words / without existing final words
hoity-toitys,forbidden,hyphenated words / without existing final words
hoity-toities,forbidden,hyphenated words / without existing final words
namby-pamby,common_ish,hyphenated words / without existing final words
namby-pambys,forbidden,hyphenated words / without existing final words
namby-pambies,rare,hyphenated words / without existing final words
coco-de-mer,rare_ish,hyphenated words / without existing final words
sans-culotte,rare_ish,hyphenated words / without existing final words
sans-culottes,rare_ish,hyphenated words / without existing final words
dinky-di,rare,hyphenated words / without existing final words
topsy-turvy,common_ish,hyphenated words / without existing final words
topsy-turvies,forbidden_ish,hyphenated words / without existing final words
topsy-turvys,forbidden,hyphenated words / without existing final words
topsy-turvying,forbidden,hyphenated words / without existing final words
topsy-turvier,rare_ish,hyphenated words / without existing final words
topsy-turviest,rare_ish,hyphenated words / without existing final words
boogie-woogie,forbidden,hyphenated words / without existing final words
hanky-panky,forbidden,hyphenated words / without existing final words
heebie-jeebie,forbidden,hyphenated words / without existing final words
heebie-jeebies,rare,hyphenated words / without existing final words
hara-kiri,common,hyphenated words / without existing final words
itsy-bitsy,common_ish,hyphenated words / without existing final words
hurdy-gurdy,rare_ish,hyphenated words / without existing final words
okey-dokey,common_ish,hyphenated words / without existing final words
tutti-frutti,rare,hyphenated words / without existing final words
willy-nilly,common_ish,hyphenated words / without existing final words
pell-mell,forbidden,hyphenated words / without existing final words
flim-flam,forbidden,hyphenated words / without existing final words
savoir-faire,common_ish,hyphenated words / without existing final words
papier-mache,common_ish,hyphenated words / without existing final words
pince-nez,forbidden,hyphenated words / without existing final words
roly-poly,common_ish,hyphenated words / without existing final words
ping-pong,common_ish,hyphenated words / with existing final words
yo-yo,common,hyphenated words / with existing final words
yoyo,forbidden,hyphenated words / with existing final words
about-face,rare,hyphenated words / with existing final words
face-to-face,rare,hyphenated words / with existing final words
good-looking,rare,hyphenated words / with existing final words
eye-catching,rare,hyphenated words / with existing final words
long-term,rare,hyphenated words / with existing final words
record-breaking,rare,hyphenated words / with existing final words
laid-back,rare,hyphenated words / with existing final words
one-sided,rare,hyphenated words / with existing final words
non-stop,rare,hyphenated words / with existing final words
one-way,rare,hyphenated words / with existing final words
two-way,rare,hyphenated words / with existing final words
well-known,rare,hyphenated words / with existing final words
well-being,rare,hyphenated words / with existing final words
old-fashioned,forbidden,hyphenated words / with existing final words
oldfashioned,forbidden,hyphenated words / with existing final words
left-handed,rare,hyphenated words / with existing final words
mother-in-law,rare,hyphenated words / with existing final words
nitty-gritty,rare,hyphenated words / with existing final words
helter-skelter,rare_ish,hyphenated words / with existing final words
self-defense,rare,hyphenated words / with existing final words
up-to-date,rare,hyphenated words / with existing final words
ding-dong,rare,hyphenated words / with existing final words
boo-boo,rare_ish,hyphenated words / with existing final words
aye-aye,rare,hyphenated words / with existing final words
ha-ha,rare,hyphenated words / with existing final words
so-so,common,hyphenated words / with existing final words
bad-ass,forbidden,hyphenated words / with existing final words
checkup,common,hyphenated words / with existing final words
check-up,forbidden,hyphenated words / with existing final words
heads-up,forbidden,hyphenated words / with existing final words
headsup,forbidden,hyphenated words / with existing final words
self-portrait,forbidden,hyphenated words / with existing final words
self-portraits,forbidden,hyphenated words / with existing final words
selfportrait,forbidden,hyphenated words / with existing final words
selfportraits,forbidden,hyphenated words / with existing final words
babysit,common,hyphenated words / with existing final words
baby-sit,forbidden,hyphenated words / with existing final words
babysitter,common,hyphenated words / with existing final words
baby-sitter,forbidden,hyphenated words / with existing final words
babysitting,common,hyphenated words / with existing final words
baby-sitting,forbidden,hyphenated words / with existing final words
psychosocial,uncommon,hyphenated words / with existing final words
psycho-social,forbidden,hyphenated words / with existing final words
ad-hoc,common,hyphenated words / with existing final words
adhoc,forbidden,hyphenated words / with existing final words
ad-lib,common,hyphenated words / with existing final words
adlib,forbidden,hyphenated words / with existing final words
able-bodied,forbidden,hyphenated words / with existing final words
ablebodied,forbidden,hyphenated words / with existing final words
non-paying,uncommon,hyphenated words / with existing final words
nonpaying,forbidden,hyphenated words / with existing final words
nonpoisonous,uncommon,hyphenated words / with existing final words
non-poisonous,forbidden,hyphenated words / with existing final words
gypsy,forbidden,explicitly forbidden
gypsys,forbidden,explicitly forbidden
gypsies,forbidden,explicitly forbidden
gypsyism,forbidden,explicitly forbidden
gypsyisms,forbidden,explicitly forbidden
gypsying,forbidden,explicitly forbidden
gyp,forbidden,explicitly forbidden
gypped,forbidden,explicitly forbidden
gypping,forbidden,explicitly forbidden
tranny,forbidden,explicitly forbidden
trannys,forbidden,explicitly forbidden
trannies,forbidden,explicitly forbidden
trannying,forbidden,explicitly forbidden
spic,forbidden,explicitly forbidden
spics,forbidden,explicitly forbidden
spice,common,explicitly forbidden | naive prefix matching is too broad
alles,forbidden,"wiktionary paradigm noise | German for ""all"" — leaks in via Wiktionary paradigm tables, lemma resolves to itself so the stop-word-inflection scrub can't catch it"
bluejeans,uncommon,principled instead of pinpoint
fedex,uncommon,principled instead of pinpoint
flyby,common,principled instead of pinpoint
golly,common,principled instead of pinpoint
gotcha,common,principled instead of pinpoint
horsey,common,principled instead of pinpoint
jacuzzi,common,principled instead of pinpoint
oversell,common_ish,principled instead of pinpoint
oversold,common_ish,principled instead of pinpoint
tootsie,common,principled instead of pinpoint
tremens,rare_ish,principled instead of pinpoint
waterbed,common,principled instead of pinpoint
waterbeds,common,principled instead of pinpoint
willie,uncommon,principled instead of pinpoint
accelerant,common,principled instead of pinpoint
accelerants,common,principled instead of pinpoint
acceleranted,rare,principled instead of pinpoint
annualize,rare_ish,principled instead of pinpoint
annualizes,rare_ish,principled instead of pinpoint
annualized,rare_ish,principled instead of pinpoint
annualizee,forbidden,principled instead of pinpoint
annualizees,forbidden,principled instead of pinpoint
antidrug,uncommon,principled instead of pinpoint
antismoking,uncommon,principled instead of pinpoint
audiophile,common,principled instead of pinpoint
audiophiles,common,principled instead of pinpoint
bankshare,uncommon,principled instead of pinpoint
bankshares,uncommon,principled instead of pinpoint
carjack,common_ish,principled instead of pinpoint
carjacker,common_ish,principled instead of pinpoint
carjackers,common_ish,principled instead of pinpoint
carjacking,common_ish,principled instead of pinpoint
cataloging,common,principled instead of pinpoint
catalogging,forbidden,principled instead of pinpoint
clocker,common,principled instead of pinpoint
clockers,common,principled instead of pinpoint
departmentalize,common_ish,principled instead of pinpoint
departmentalized,common_ish,principled instead of pinpoint
departmentalizes,common_ish,principled instead of pinpoint
departmentalization,common_ish,principled instead of pinpoint
deregulate,common_ish,principled instead of pinpoint
deregulated,common_ish,principled instead of pinpoint
deregulates,common_ish,principled instead of pinpoint
deregulation,common_ish,principled instead of pinpoint
deregulator,common_ish,principled instead of pinpoint
deregulators,common_ish,principled instead of pinpoint
dewire,rare_ish,principled instead of pinpoint
doomsayer,common,principled instead of pinpoint
doomsayers,common,principled instead of pinpoint
endeavored,common,principled instead of pinpoint
entrail,common,principled instead of pinpoint
entrails,common,principled instead of pinpoint
ethnomusicologist,uncommon,principled instead of pinpoint
ferromagnet,uncommon,principled instead of pinpoint
glock,common_ish,principled instead of pinpoint
gramophone,common,principled instead of pinpoint
gramophons,forbidden,principled instead of pinpoint
gramophones,common,principled instead of pinpoint
gramaphone,forbidden,principled instead of pinpoint
gramaphones,forbidden,principled instead of pinpoint
grandbabies,common_ish,principled instead of pinpoint
